label,cleaned_text
0,hi fine
0,fine pretti good thank ask
0,pretti good thank ask problem
0,problem great
0,great good school right
0,good school right school go
0,school go go pcc
0,go pcc like
0,like okay realli big campu
0,okay realli big campu good luck school
0,good luck school thank much
0,go well
0,well never better thank
0,never better thank late
0,late actual pretti good
0,actual pretti good actual school right
0,actual school right school attend
0,school attend attend pcc right
0,attend pcc right enjoy
0,enjoy bad lot peopl
0,bad lot peopl good luck
0,good luck thank
0,today great
0,great absolut love thank
0,absolut love thank everyth good
0,everyth good better
0,better start school recent
0,start school recent go school
0,go school go pcc
0,go pcc like far
0,like far like far class pretti good right
0,like far class pretti good right wish luck
0,ugli day today know think may rain
0,know think may rain middl summer rain today
0,middl summer rain today would weird
0,would weird yeah especi sinc nineti degre outsid
0,yeah especi sinc nineti degre outsid know would horribl rain hot outsid
0,know would horribl rain hot outsid ye would
0,ye would realli wish hot everi day
0,realli wish hot everi day wait winter
0,wait winter like winter sometim get cold
0,like winter sometim get cold rather cold hot
0,rather cold hot
0,look nice outsid today right think go rain later
0,right think go rain later middl summer rain
0,middl summer rain seem right
0,seem right consid nineti degre outsid would weird
0,consid nineti degre outsid would weird exactli nice start rain hot
0,exactli nice start rain hot know absolut right
0,know absolut right wish would cool one day
0,wish would cool one day feel want winter come soon
0,feel want winter come soon enjoy winter get realli cold sometim
0,enjoy winter get realli cold sometim know mean rather cold hot
0,know mean rather cold hot exactli feel
0,wish nicer day today true hope rain
0,true hope rain rain middl summer
0,rain middl summer seem right start rain right
0,seem right start rain right would weird start rain nineti degre weather
0,would weird start rain nineti degre weather rain right would pointless
0,rain right would pointless right realli would
0,right realli would want cool
0,want cool know mean wait winter
0,know mean wait winter winter great wish get cold sometim though
0,winter great wish get cold sometim though would rather deal winter summer
0,nice day ye
0,ye look like may rain soon
0,look like may rain soon ye hope
0,ye hope
0,realli love rain clear air
0,realli love rain clear air alway smell fresh rain
0,alway smell fresh rain ye love night air rain
0,ye love night air rain realli
0,realli see star perfectli
0,see star perfectli realli hope rain today
0,realli hope rain today yeah
0,nice day realli
0,realli seem may rain today
0,seem may rain today hope
0,hope come
0,come like clear sky get rain
0,like clear sky get rain feel way smell good rain
0,feel way smell good rain especi love night air rain
0,especi love night air rain realli
0,realli star look much closer rain
0,star look much closer rain realli want rain today
0,realli want rain today yeah
0,think nice ye think
0,ye think think go rain
0,think go rain hope rain
0,hope rain like rain
0,like rain sky look clean rain love
0,sky look clean rain love understand rain make smell cleaner
0,understand rain make smell cleaner love night rain
0,love night rain come
0,come see star much clearli rain
0,see star much clearli rain would love rain today
0,realli want go beach weekend sound like fun weather go like
0,sound like fun weather go like heard go warm weekend
0,heard go warm weekend go perfect beach weather
0,go perfect beach weather believ
0,believ good hope cool weekend
0,good hope cool weekend know realli want go beach
0,know realli want go beach know california weather realli unpredict
0,know california weather realli unpredict right one minut hot next minut cold
0,right one minut hot next minut cold realli wish weather would stay
0,realli wish weather would stay way activ plan ahead time
0,way activ plan ahead time yeah would make thing lot easier
0,would like take trip beach weekend trip beach would fun weather go
0,trip beach would fun weather go forecast say warm weekend
0,forecast say warm weekend think perfect weather beach
0,think perfect weather beach sound like
0,sound like realli hope get cold
0,realli hope get cold would ruin thing want go badli
0,would ruin thing want go badli weather california unpredict never know
0,weather california unpredict never know true weather constantli chang
0,true weather constantli chang would nice weather would never chang
0,would nice weather would never chang would great could plan thing sooner
0,would great could plan thing sooner true predict weather would make life easier
0,would nice go beach sometim weekend weather go like may want go
0,weather go like may want go weather weekend suppos warm
0,weather weekend suppos warm good beach weather
0,good beach weather think
0,think good got cold weekend
0,good got cold weekend want trip perfect hope stay warm
0,want trip perfect hope stay warm california weather uncertain imposs know happen
0,california weather uncertain imposs know happen know everi day weather seem differ
0,know everi day weather seem differ would love alway unpredict
0,would love alway unpredict would make easier us make plan
0,hello may speak alic pleas go
0,go tri call day
0,tri call day sorri clean
0,sorri clean okay
0,okay call
0,call oh want see want hang tomorrow
0,oh want see want hang tomorrow sure want
0,sure want mayb go see movi someth
0,mayb go see movi someth sound like fun let
0,sound like fun let see tomorrow
0,see tomorrow see goodby
0,hi alic speak
0,speak answer phone
0,answer phone bad chore
0,bad chore right
0,right reason call
0,reason call want someth tomorrow
0,want someth tomorrow sound good mind
0,sound good mind think see movi
0,think see movi okay let go see movi
0,okay let go see movi
0,talk later
0,alic avail talk
0,talk call hundr time today
0,call hundr time today busi someth apolog
0,busi someth apolog problem
0,problem need someth
0,need someth want someth tomorrow
0,want someth tomorrow somewher special want go
0,somewher special want go movi
0,movi movi sound good
0,movi sound good call tomorrow
0,seen new girl school
0,realli pretti
0,realli pretti describ
0,describ tall
0,tall well tall
0,well tall five feet even
0,five feet even look like though
0,look like though pretti light brown eye
0,pretti light brown eye may know girl talk
0,may know girl talk seen around
0,seen around ye
0,new girl school seen yet seen yet
0,seen yet think pretti
0,think pretti tell look
0,tell look kind short
0,kind short height
0,height probabl five feet
0,probabl five feet nice tell look like
0,nice tell look like first thing notic beauti brown eye
0,first thing notic beauti brown eye think might bump
0,think might bump tell seen
0,tell seen believ
0,met new girl
0,one prettiest girl school
0,one prettiest girl school look like
0,look like well quit short
0,well quit short tall would say
0,tall would say would say five feet
0,would say five feet facial featur
0,facial featur light brown eye absolut beauti
0,light brown eye absolut beauti think know talk
0,think know talk seen
0,school yesterday realli feel well
0,realli feel well wrong
0,wrong stomach upset
0,stomach upset feel better
0,feel better realli feel well yet
0,realli feel well yet want anyth make feel better
0,want anyth make feel better thank alreadi took medicin
0,thank alreadi took medicin hope feel better
0,hope feel better thank
0,reason miss school sick
0,sick sick
0,sick stomachach
0,stomachach get better
0,get better still feel weather
0,still feel weather would like anyth stomach
0,would like anyth stomach took someth earlier
0,took someth earlier get better
0,get better thank lot
0,go school yesterday stay home feel well
0,stay home feel well problem
0,problem stomach bother
0,stomach bother feel better
0,feel better still feel littl sick
0,still feel littl sick go store would like pepto bismol
0,go store would like pepto bismol okay
0,okay hope feel better
0,hear good news
0,got promot job
0,got promot job realli
0,realli serious excit
0,serious excit well congratul
0,well congratul thank
0,thank happi
0,happi realli
0,realli ye realli deserv
0,ye realli deserv think
0,think ye good
0,heard good news told anyth yet
0,told anyth yet got promot work earlier week
0,got promot work earlier week right
0,right truth realli happi
0,truth realli happi congratul promot
0,congratul promot thank much
0,thank much realli excit
0,realli excit realli
0,realli seriou deserv promot
0,seriou deserv promot realli think
0,realli think ye
0,told happen yet heard anyth
0,heard anyth boss offer promot took
0,boss offer promot took seriou
0,seriou ye realli excit
0,ye realli excit great congratul
0,great congratul appreci
0,appreci idea happi
0,idea happi real
0,look realli nice today thank got outfit day
0,thank got outfit day realli get
0,realli get got maci
0,got maci realli nice
0,realli nice thank look nice today
0,thank look nice today thank got shoe today
0,thank got shoe today realli kind shoe
0,realli kind shoe call star chuck taylor
0,call star chuck taylor realli like much cost
0,realli like much cost forti dollar
0,forti dollar think go go buy pair
0,absolut love wear today bought outfit coupl day ago
0,bought outfit coupl day ago serious look realli nice buy
0,serious look realli nice buy bought maci santa anita mall
0,bought maci santa anita mall realli like outfit
0,realli like outfit thank think look nice today
0,thank think look nice today thank bought new shoe earlier today
0,thank bought new shoe earlier today nice
0,nice chuck
0,chuck great much
0,great much got forti
0,got forti think might go find pair chuck
0,think look cute today right brand new outfit
0,right brand new outfit store get
0,store get went maci pick
0,went maci pick love outfit right
0,love outfit right well think look nice today
0,well think look nice today thank found new shoe earlier store
0,thank found new shoe earlier store think realli nice shoe kind
0,think realli nice shoe kind chuck
0,chuck shoe look realli nice much get
0,shoe look realli nice much get cost forti dollar
0,tell enjoy spare time enjoy draw paint
0,enjoy draw paint know draw paint
0,know draw paint ye
0,ye learn
